time,step,roll_angle,pitch_angle,yaw_angle,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,hip_position,knee_position,hip_velocity,knee_velocity,hip_torque,knee_torque,steering_torque,rearwheel_torque,action_hip,action_knee,action_steering,action_rearwheel,total_reward,roll_reward,pitch_reward,yaw_reward,speed_reward,position_reward,height_reward,survival_reward,raw_roll_reward,raw_pitch_reward,raw_yaw_reward,raw_speed_reward,roll_deviation,pitch_deviation,yaw_deviation,cumulative_reward
0.246,123,0.6096569022544798,1.8504342250765808,-0.495610189087012,2.378458157799365,0.0010000127768683953,0.27737501916973184,3.9837741876773385,-0.09633503509401012,2.138527849456909,-1.0115218031156752,1.6625417739709227,-5.233630501019211,0.9646284216082006,-25.74068212395244,162.80469295740448,4.0,12.0,-0.23406042,-0.01581988,1.0,1.0,9.220928213317464,3.5122744781964164,3.753275436656456,0.19669593207275327,0.18786198019837913,0.16818428421890985,0.0,1.5,0.8780686195491041,0.938318859164114,0.9834796603637662,0.6262066006612638,0.6096569022544798,1.8504342250765808,0.495610189087012,1170.083074121716
0.248,124,0.6199650439066855,2.2471756426246614,-0.66043601024948,2.3864377498732043,0.000817398007312903,0.2818344126873376,3.9956455382550757,-0.08624573756192715,2.3169746463234127,-1.023847200605338,1.667108601184942,-7.093614100591208,3.547420109773291,-31.527477335025736,162.66850309777448,-4.0,12.0,-1.0,1.0,-1.0,1.0,8.736800058827866,3.5040279648746515,3.7003765809833786,0.1955970932650035,0.18354382649667536,0.17172394832115234,0.0,1.5,0.8760069912186629,0.9250941452458447,0.9779854663250174,0.6118127549889179,0.6199650439066855,2.2471756426246614,0.66043601024948,1178.8198741805438
0.25,125,0.6312006651321395,2.4826693034058254,-0.8227205690238144,2.394250472744012,0.0006419053236015669,0.286100029365183,3.8193217894837868,-0.08856265549665625,1.9492604758880794,-1.03134286798578,1.670152933005084,-0.4786884346421223,-0.4971333658361865,180.0,-180.0,3.5218941833560855,12.0,1.0,-1.0,1.0,1.0,9.502689692801184,3.4950394678942884,3.6689774262125567,0.19451519620650792,0.24465514906641872,0.17518876960523322,0.0,1.5,0.8737598669735721,0.9172443565531392,0.9725759810325395,0.8155171635547291,0.6312006651321395,2.4826693034058254,0.8227205690238144,1188.322563873345
0.252,126,0.6432735740038816,2.585636848653297,-0.998292707882538,2.4019271108201465,0.0004569998353039349,0.2902047678297158,3.8531160521345127,-0.09593904598469709,2.150549311105095,-1.0348846978361685,1.672021866417569,-2.9048616550906,2.3133045194225406,-51.33797469289024,168.45508022816415,2.7396876701098076,-12.0,-1.0,1.0,1.0,1.0,9.308434667255813,3.4853811407968944,3.6552484201795603,0.1933447152807831,0.233784694332336,0.1785924888992514,0.0,1.5,0.8713452851992236,0.9138121050448901,0.9667235764039154,0.7792823144411201,0.6432735740038816,2.585636848653297,0.998292707882538,1197.6309985406008
0.254,127,0.656253152330769,2.553808096076199,-1.1681529790875749,2.4094616102033215,0.00028477656994010036,0.2941389314486263,3.681248701223039,-0.07618958406554424,1.7835970275940345,-1.0343476409431807,1.6726175310314493,3.4413036762777365,-1.7174899498343135,180.0,-180.0,-4.0,-12.0,1.0,-1.0,-1.0,-1.0,9.232033250078052,3.4749974781353847,3.6594922538565067,0.1922123134727495,0.28092291033933803,0.1819325384010022,0.0,1.5,0.8687493695338462,0.9148730634641267,0.9610615673637475,0.9364097011311269,0.656253152330769,2.553808096076199,1.1681529790875749,1206.8630317906789
0.256,128,0.6694409967060045,2.1573043644500096,-1.336134028347705,2.4166051384519447,0.0001315588741896814,0.2977389374700745,3.4642876421247775,-0.07634710136222092,1.8152710496241484,-1.0232162729990817,1.6705954702012613,7.629610209712262,-0.3305459553013905,180.0,174.0639435428817,1.7845923331964393,12.0,1.0,1.0,1.0,1.0,8.740196034527528,3.4644472026351965,3.712359418073332,0.1910924398110153,0.2992357516127444,0.18509883634763646,0.0,1.5,0.8661118006587991,0.928089854518333,0.9554621990550765,0.9974525053758146,0.6694409967060045,2.1573043644500096,1.336134028347705,1215.6032278252064
0.258,129,0.682857961040078,1.6601381859593451,-1.5093281009314605,2.423618718673673,-2.3403799463840905e-05,0.30160641014087497,3.5448373463084053,-0.07836770387929204,2.0467399241074133,-1.0117698527556174,1.6730369801485572,3.9873899453411528,2.716000067783984,-93.5047869120018,167.53363573625467,1.012674977861412,-12.0,-1.0,1.0,1.0,1.0,9.122464445201471,3.4537136311679375,3.7786482418720873,0.18993781266045695,0.29879618917379563,0.18820598007567302,0.0,1.5,0.8634284077919844,0.9446620604680218,0.9496890633022846,0.9959872972459854,0.682857961040078,1.6601381859593451,1.5093281009314605,1224.725692270408
0.26,130,0.6969189129896705,1.310164240751585,-1.6679474267241126,2.4307729974389227,-0.00017018720076455635,0.30590449407325115,3.6088625258696725,-0.06852571366629759,2.2468382856100795,-1.0069565858937184,1.6812160543400718,0.8452737910588883,5.4024039836797915,-77.58296963883913,151.81260363136863,-4.0,9.26855201145122,-1.0,1.0,-1.0,1.0,9.188045481376681,3.442464869608264,3.8253114345664554,0.18888035048850593,0.29297297684881146,0.19137361820338494,0.0,1.5,0.860616217402066,0.9563278586416138,0.9444017524425296,0.9765765894960383,0.6969189129896705,1.310164240751585,1.6679474267241126,1233.9137377517848
0.262,131,0.7117609072318705,1.1146045780549292,-1.7990073905213038,2.438083164888895,-0.00029201458439377957,0.3102242961008021,3.7004321754989493,-0.05349057440954148,2.07246989607192,-1.0060995186659187,1.689664807233593,0.025067704674211377,3.0480001672784103,-62.83504223980759,-180.0,-4.0,-12.0,-1.0,-0.9434756,-1.0,-1.0,9.502194381020749,3.4305912742145037,3.8513860562593427,0.18800661739652466,0.276839069468146,0.19460949087900925,0.0,1.5,0.8576478185536259,0.9628465140648357,0.9400330869826232,0.9227968982271535,0.7117609072318705,1.1146045780549292,1.7990073905213038,1243.4159321328054
0.264,132,0.7272509218658952,1.0455254821263669,-1.9043397960148742,2.44552469068881,-0.0003914354097368894,0.31455188755984165,3.7388937526657173,-0.046003121942139326,2.250673001973263,-1.0085097427360248,1.6982884739513395,-2.355148013049359,5.519880277300206,-58.90542525344415,146.82703771688938,-4.0,12.0,-1.0,1.0,-0.70490676,1.0,9.297958481053065,3.418199262507284,3.860596602383151,0.18730440135990084,0.26763979408219013,0.1979027251642571,0.0,1.5,0.854549815626821,0.9651491505957878,0.9365220067995041,0.8921326469406339,0.7272509218658952,1.0455254821263669,1.9043397960148742,1252.7138906138584
0.266,133,0.7423711758307208,0.8248464124370811,-1.9942271074909972,2.452782133610207,-0.00047065088436512174,0.3190348932933219,3.5204083744710783,-0.033182993371543554,2.231332476368591,-1.0086223860767678,1.710020713549343,2.18624261157832,6.190391788309485,180.0,132.74290382323107,-4.0,12.0,1.0,1.0,-1.0,1.0,8.9301822585814,3.4061030593354236,3.8900204783417225,0.1867051526167267,0.29975020300619803,0.20111259189428843,0.0,1.5,0.8515257648338559,0.9725051195854306,0.9335257630836334,0.9991673433539935,0.7423711758307208,0.8248464124370811,1.9942271074909972,1261.64407287244
