stage,tick,episode,x,z,base_action_0,requested_delta_0,effective_delta_0,action_0,base_action_1,requested_delta_1,effective_delta_1,action_1,base_action_2,requested_delta_2,effective_delta_2,action_2,base_action_3,requested_delta_3,effective_delta_3,action_3
initial,36,0,3.7765181064605713,0.5490382313728333,0.6759054064750671,0.0,0.0,0.6759054064750671,-0.4360787868499756,0.0,0.0,-0.4360787868499756,0.42513784766197205,0.0,0.0,0.42513784766197205,-0.3832835555076599,0.0,0.0,-0.3832835555076599
initial,36,1,3.779024124145508,0.5251460671424866,-0.0013158844085410237,0.0,0.0,-0.0013158844085410237,-0.584893524646759,0.0,0.0,-0.584893524646759,-0.6642038822174072,0.0,0.0,-0.6642038822174072,-0.015924058854579926,0.0,0.0,-0.015924058854579926
initial,37,0,3.8126935958862305,0.5400891900062561,0.6896404027938843,0.0,0.0,0.6896404027938843,-0.4607974588871002,0.0,0.0,-0.4607974588871002,0.31961530447006226,0.0,0.0,0.31961530447006226,-0.3654707372188568,0.0,0.0,-0.3654707372188568
initial,37,1,3.81569242477417,0.5168894529342651,-0.1709495633840561,0.0,0.0,-0.1709495633840561,-0.6044469475746155,0.0,0.0,-0.6044469475746155,-0.796273410320282,0.0,0.0,-0.796273410320282,-0.03286357596516609,0.0,0.0,-0.03286357596516609
initial,38,0,3.848250389099121,0.5313769578933716,0.6808253526687622,0.0,0.0,0.6808253526687622,-0.47553181648254395,0.0,0.0,-0.47553181648254395,0.19936896860599518,0.0,0.0,0.19936896860599518,-0.30631476640701294,0.0,0.0,-0.30631476640701294
initial,38,1,3.85248064994812,0.49465882778167725,-0.2370273619890213,0.0,0.0,-0.2370273619890213,-0.6180823445320129,0.0,0.0,-0.6180823445320129,-0.8035195469856262,0.0,0.0,-0.8035195469856262,-0.08973080664873123,0.0,0.0,-0.08973080664873123
initial,39,0,3.8826496601104736,0.5239246487617493,0.6428831815719604,0.0,0.0,0.6428831815719604,-0.48507601022720337,0.0,0.0,-0.48507601022720337,0.022252652794122696,0.0,0.0,0.022252652794122696,-0.25378698110580444,0.0,0.0,-0.25378698110580444
initial,39,1,3.8895301818847656,0.4627796709537506,-0.30902963876724243,0.0,0.0,-0.30902963876724243,-0.6278160214424133,0.0,0.0,-0.6278160214424133,-0.7889521718025208,0.0,0.0,-0.7889521718025208,-0.07163676619529724,0.0,0.0,-0.07163676619529724
initial,40,0,3.9174273014068604,0.5172004699707031,0.6161218285560608,0.0,0.0,0.6161218285560608,-0.5135725736618042,0.0,0.0,-0.5135725736618042,-0.14295250177383423,0.0,0.0,-0.14295250177383423,-0.16027171909809113,0.0,0.0,-0.16027171909809113
initial,40,1,3.9274251461029053,0.4203077554702759,-0.35093048214912415,0.0,0.0,-0.35093048214912415,-0.6039215326309204,0.0,0.0,-0.6039215326309204,-0.7543079257011414,0.0,0.0,-0.7543079257011414,-0.137803852558136,0.0,0.0,-0.137803852558136
initial,41,0,3.952578067779541,0.5098065137863159,0.5788257122039795,0.0,0.0,0.5788257122039795,-0.5179980993270874,0.0,0.0,-0.5179980993270874,-0.35603415966033936,0.0,0.0,-0.35603415966033936,-0.09503068774938583,0.0,0.0,-0.09503068774938583
initial,41,1,3.9658572673797607,0.370124489068985,-0.3515380620956421,0.0,0.0,-0.3515380620956421,-0.5752736926078796,0.0,0.0,-0.5752736926078796,-0.6742067933082581,0.0,0.0,-0.6742067933082581,-0.13721491396427155,0.0,0.0,-0.13721491396427155
initial,42,0,3.987391948699951,0.5012975335121155,0.6304487586021423,0.0,0.0,0.6304487586021423,-0.526306688785553,0.0,0.0,-0.526306688785553,-0.577446699142456,0.0,0.0,-0.577446699142456,-0.03141528367996216,0.0,0.0,-0.03141528367996216
initial,42,1,4.004582405090332,0.315234899520874,-0.3774232566356659,0.0,0.0,-0.3774232566356659,-0.5066479444503784,0.0,0.0,-0.5066479444503784,-0.6038739085197449,0.0,0.0,-0.6038739085197449,-0.15597538650035858,0.0,0.0,-0.15597538650035858
initial,43,0,4.022392749786377,0.48283150792121887,0.614508867263794,0.0,0.0,0.614508867263794,-0.5106676816940308,0.0,0.0,-0.5106676816940308,-0.7290145754814148,0.0,0.0,-0.7290145754814148,-0.09042015671730042,0.0,0.0,-0.09042015671730042
initial,43,1,4.038355350494385,0.28436359763145447,-0.3641310930252075,0.0,0.0,-0.3641310930252075,-0.4290390610694885,0.0,0.0,-0.4290390610694885,-0.525696873664856,0.0,0.0,-0.525696873664856,-0.19184893369674683,0.0,0.0,-0.19184893369674683
initial,44,0,4.058426380157471,0.4503379762172699,0.5982422828674316,0.0,0.0,0.5982422828674316,-0.5287361741065979,0.0,0.0,-0.5287361741065979,-0.7026835680007935,0.0,0.0,-0.7026835680007935,-0.13549306988716125,0.0,0.0,-0.13549306988716125
initial,45,0,4.095785140991211,0.40587538480758667,0.5646522045135498,0.0,0.0,0.5646522045135498,-0.5405237078666687,0.0,0.0,-0.5405237078666687,-0.6079326868057251,0.0,0.0,-0.6079326868057251,-0.17598825693130493,0.0,0.0,-0.17598825693130493
initial,46,0,4.133640289306641,0.3556319773197174,0.5562916398048401,0.0,0.0,0.5562916398048401,-0.5190789103507996,0.0,0.0,-0.5190789103507996,-0.45871448516845703,0.0,0.0,-0.45871448516845703,-0.16511498391628265,0.0,0.0,-0.16511498391628265
