phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,74,3.7,union,14,14,14,14,14,0.5352400541305542,0.7670254707336426,1.6620211601257324,2.2627956867218018,0.13279427587985992,1.0203099250793457,-9.08125050502248,6.140210747591417
upstream,75,3.75,pi_0,7,7,7,7,7,0.5597947239875793,0.7787166237831116,1.6232101917266846,2.3062469959259033,0.18524996936321259,1.2328323125839233,-9.093880992178095,4.893249571551955
upstream,75,3.75,pi_1,7,7,7,7,7,0.5597947239875793,0.7787166237831116,1.6232101917266846,2.3062469959259033,0.18524996936321259,1.2328323125839233,-9.093880992178095,4.893249571551955
upstream,75,3.75,pi_2,7,7,7,7,7,0.5597947239875793,0.7787166237831116,1.6232101917266846,2.3062469959259033,0.18524996936321259,1.2328323125839233,-9.093880992178095,4.893249571551955
upstream,75,3.75,pi_3,7,7,7,7,7,0.5597947239875793,0.7787166237831116,1.6232101917266846,2.3062469959259033,0.18524996936321259,1.2328323125839233,-9.093880992178095,4.893249571551955
upstream,75,3.75,pi_4,7,7,7,7,7,0.5597947239875793,0.7787166237831116,1.6232101917266846,2.3062469959259033,0.18524996936321259,1.2328323125839233,-9.093880992178095,4.893249571551955
upstream,75,3.75,union,7,7,7,7,7,0.5597947239875793,0.7787166237831116,1.6232101917266846,2.3062469959259033,0.18524996936321259,1.2328323125839233,-9.093880992178095,4.893249571551955
upstream,76,3.8000000000000003,pi_0,5,5,5,5,5,0.5806550979614258,0.7844433188438416,1.4635822772979736,2.226383924484253,-0.018504373729228973,0.8510213494300842,-18.733848704835676,3.0711019425694372
upstream,76,3.8000000000000003,pi_1,5,5,5,5,5,0.5806550979614258,0.7844433188438416,1.4635822772979736,2.226383924484253,-0.018504373729228973,0.8510213494300842,-18.733848704835676,3.0711019425694372
upstream,76,3.8000000000000003,pi_2,5,5,5,5,5,0.5806550979614258,0.7844433188438416,1.4635822772979736,2.226383924484253,-0.018504373729228973,0.8510213494300842,-18.733848704835676,3.0711019425694372
