candidate_index,phase,full_cost,first_success_cost,label,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6
73,downstream,32,5,1,success,untested,untested,untested,untested,untested,untested
74,downstream,18,2,1,success,untested,untested,untested,untested,untested,untested
75,upstream,265,36,1,success,untested,untested,untested,untested,untested,untested
76,upstream,278,34,1,success,untested,untested,untested,untested,untested,untested
77,upstream,320,195,1,failure,failure,failure,success,untested,untested,untested
78,upstream,319,188,1,failure,failure,failure,success,untested,untested,untested
79,upstream,316,183,1,failure,failure,failure,success,untested,untested,untested
80,upstream,296,174,1,failure,failure,failure,success,untested,untested,untested
81,upstream,317,169,1,failure,failure,failure,success,untested,untested,untested
82,upstream,308,162,1,failure,failure,failure,success,untested,untested,untested
83,upstream,294,160,1,failure,failure,failure,success,untested,untested,untested
84,upstream,295,158,1,failure,failure,failure,success,untested,untested,untested
85,upstream,284,152,1,failure,failure,failure,success,untested,untested,untested
86,upstream,278,155,1,failure,failure,failure,success,untested,untested,untested
87,upstream,275,153,1,failure,failure,failure,success,untested,untested,untested
88,upstream,252,61,1,failure,success,untested,untested,untested,untested,untested
89,upstream,259,71,1,failure,success,untested,untested,untested,untested,untested
90,upstream,245,43,1,success,untested,untested,untested,untested,untested,untested
91,upstream,242,133,1,failure,failure,failure,success,untested,untested,untested
92,upstream,231,130,1,failure,failure,failure,success,untested,untested,untested
93,upstream,238,39,1,success,untested,untested,untested,untested,untested,untested
94,upstream,187,103,1,failure,failure,failure,success,untested,untested,untested
95,upstream,186,101,1,failure,failure,failure,success,untested,untested,untested
96,upstream,180,101,1,failure,failure,failure,success,untested,untested,untested
97,upstream,155,84,1,failure,failure,failure,success,untested,untested,untested
98,upstream,145,79,1,failure,failure,conflict,success,untested,untested,untested
99,upstream,132,71,1,failure,failure,conflict,success,untested,untested,untested
100,upstream,125,48,1,failure,failure,success,untested,untested,untested,untested
101,upstream,117,45,1,failure,failure,success,untested,untested,untested,untested
102,upstream,102,38,1,failure,failure,success,untested,untested,untested,untested
103,upstream,95,35,1,failure,failure,success,untested,untested,untested,untested
104,upstream,87,32,1,failure,failure,success,untested,untested,untested,untested
105,upstream,82,31,1,failure,failure,success,untested,untested,untested,untested
106,downstream,69,37,1,failure,failure,conflict,success,untested,untested,untested
107,downstream,62,33,1,failure,failure,conflict,success,untested,untested,untested
108,downstream,48,25,1,failure,failure,failure,success,untested,untested,untested
109,downstream,41,41,,failure,failure,failure,conflict,conflict,conflict,conflict
110,downstream,29,29,,failure,failure,failure,conflict,conflict,failure,conflict
111,downstream,19,10,1,failure,conflict,conflict,success,untested,untested,untested
112,downstream,13,13,,failure,conflict,conflict,conflict,conflict,conflict,conflict
113,upstream,274,35,1,success,untested,untested,untested,untested,untested,untested
114,upstream,237,32,1,success,untested,untested,untested,untested,untested,untested
115,upstream,218,29,1,success,untested,untested,untested,untested,untested,untested
116,upstream,202,27,1,success,untested,untested,untested,untested,untested,untested
117,upstream,200,26,1,success,untested,untested,untested,untested,untested,untested
118,upstream,193,25,1,success,untested,untested,untested,untested,untested,untested
119,upstream,183,24,1,success,untested,untested,untested,untested,untested,untested
120,upstream,161,23,1,success,untested,untested,untested,untested,untested,untested
121,upstream,155,22,1,success,untested,untested,untested,untested,untested,untested
122,upstream,148,21,1,success,untested,untested,untested,untested,untested,untested
123,upstream,133,18,1,success,untested,untested,untested,untested,untested,untested
124,upstream,131,18,1,success,untested,untested,untested,untested,untested,untested
125,upstream,112,15,1,success,untested,untested,untested,untested,untested,untested
126,upstream,108,15,1,success,untested,untested,untested,untested,untested,untested
127,upstream,102,14,1,success,untested,untested,untested,untested,untested,untested
128,upstream,89,13,1,success,untested,untested,untested,untested,untested,untested
129,upstream,84,12,1,success,untested,untested,untested,untested,untested,untested
130,upstream,76,11,1,success,untested,untested,untested,untested,untested,untested
131,upstream,63,9,1,success,untested,untested,untested,untested,untested,untested
132,upstream,56,8,1,success,untested,untested,untested,untested,untested,untested
133,downstream,49,7,1,success,untested,untested,untested,untested,untested,untested
134,downstream,35,5,1,success,untested,untested,untested,untested,untested,untested
135,downstream,26,4,1,success,untested,untested,untested,untested,untested,untested
136,downstream,19,3,1,success,untested,untested,untested,untested,untested,untested
137,downstream,14,2,1,success,untested,untested,untested,untested,untested,untested
138,upstream,263,36,1,success,untested,untested,untested,untested,untested,untested
139,upstream,248,34,1,success,untested,untested,untested,untested,untested,untested
140,upstream,261,30,1,success,untested,untested,untested,untested,untested,untested
141,upstream,259,29,1,success,untested,untested,untested,untested,untested,untested
142,upstream,229,28,1,success,untested,untested,untested,untested,untested,untested
143,upstream,222,26,1,success,untested,untested,untested,untested,untested,untested
144,upstream,209,26,1,success,untested,untested,untested,untested,untested,untested
145,upstream,219,27,1,success,untested,untested,untested,untested,untested,untested
146,upstream,210,26,1,success,untested,untested,untested,untested,untested,untested
147,upstream,188,25,1,success,untested,untested,untested,untested,untested,untested
148,upstream,313,20,1,success,untested,untested,untested,untested,untested,untested
149,upstream,257,22,1,success,untested,untested,untested,untested,untested,untested
150,upstream,195,21,1,success,untested,untested,untested,untested,untested,untested
151,upstream,161,20,1,success,untested,untested,untested,untested,untested,untested
152,upstream,150,20,1,success,untested,untested,untested,untested,untested,untested
153,upstream,134,18,1,success,untested,untested,untested,untested,untested,untested
154,upstream,131,19,1,success,untested,untested,untested,untested,untested,untested
155,upstream,126,18,1,success,untested,untested,untested,untested,untested,untested
156,downstream,119,16,1,success,untested,untested,untested,untested,untested,untested
157,downstream,115,15,1,success,untested,untested,untested,untested,untested,untested
158,downstream,105,15,1,success,untested,untested,untested,untested,untested,untested
159,downstream,93,14,1,success,untested,untested,untested,untested,untested,untested
160,downstream,89,13,1,success,untested,untested,untested,untested,untested,untested
161,downstream,73,10,1,success,untested,untested,untested,untested,untested,untested
162,downstream,65,9,1,success,untested,untested,untested,untested,untested,untested
163,downstream,51,8,1,success,untested,untested,untested,untested,untested,untested
164,downstream,43,7,1,success,untested,untested,untested,untested,untested,untested
165,downstream,28,4,1,success,untested,untested,untested,untested,untested,untested
166,downstream,14,2,1,success,untested,untested,untested,untested,untested,untested
167,downstream,7,1,1,success,untested,untested,untested,untested,untested,untested
168,upstream,279,36,1,success,untested,untested,untested,untested,untested,untested
169,upstream,248,34,1,success,untested,untested,untested,untested,untested,untested
170,upstream,232,30,1,success,untested,untested,untested,untested,untested,untested
171,upstream,220,29,1,success,untested,untested,untested,untested,untested,untested
172,upstream,209,30,1,success,untested,untested,untested,untested,untested,untested
173,upstream,198,25,1,success,untested,untested,untested,untested,untested,untested
174,upstream,191,26,1,success,untested,untested,untested,untested,untested,untested
175,upstream,175,25,1,success,untested,untested,untested,untested,untested,untested
176,upstream,168,25,1,success,untested,untested,untested,untested,untested,untested
177,upstream,155,21,1,success,untested,untested,untested,untested,untested,untested
178,upstream,148,20,1,success,untested,untested,untested,untested,untested,untested
179,upstream,136,19,1,success,untested,untested,untested,untested,untested,untested
180,upstream,126,19,1,success,untested,untested,untested,untested,untested,untested
181,upstream,124,17,1,success,untested,untested,untested,untested,untested,untested
182,upstream,111,16,1,success,untested,untested,untested,untested,untested,untested
183,upstream,104,15,1,success,untested,untested,untested,untested,untested,untested
184,upstream,96,14,1,success,untested,untested,untested,untested,untested,untested
185,upstream,82,12,1,success,untested,untested,untested,untested,untested,untested
186,upstream,75,11,1,success,untested,untested,untested,untested,untested,untested
187,upstream,68,10,1,success,untested,untested,untested,untested,untested,untested
188,downstream,61,9,1,success,untested,untested,untested,untested,untested,untested
189,downstream,46,7,1,success,untested,untested,untested,untested,untested,untested
190,downstream,39,6,1,success,untested,untested,untested,untested,untested,untested
191,downstream,32,5,1,success,untested,untested,untested,untested,untested,untested
192,downstream,16,3,1,success,untested,untested,untested,untested,untested,untested
193,downstream,9,2,1,success,untested,untested,untested,untested,untested,untested
194,upstream,267,36,1,success,untested,untested,untested,untested,untested,untested
195,upstream,271,32,1,success,untested,untested,untested,untested,untested,untested
