arm,phase,x_left_m,x_right_m,count,min_root_z_m,max_root_z_m,min_root_vz_mps,max_root_vz_mps
pi_6,downstream,3.6500000000000004,3.7,5,0.5196200609207153,0.6286818385124207,-0.43013572692871094,-0.045312970876693726
pi_6,downstream,3.7,3.75,7,0.5282984375953674,0.6178774237632751,-1.1453826427459717,-0.06239410117268562
pi_6,downstream,3.75,3.8000000000000003,5,0.40654584765434265,0.5819048285484314,-3.154815435409546,-0.32272008061408997
pi_6,downstream,3.8000000000000003,3.85,6,0.3508390784263611,0.579322874546051,-2.446671485900879,-0.7745447158813477
pi_6,downstream,3.85,3.9000000000000004,9,0.4142995774745941,0.607272744178772,-2.411564826965332,-0.4950903058052063
pi_6,downstream,3.9000000000000004,3.95,10,0.3681658208370209,0.5457084774971008,-2.5825276374816895,-1.1768916845321655
pi_6,downstream,3.95,4.0,3,0.3428597152233124,0.48491623997688293,-3.5036678314208984,-1.9696835279464722
pi_6,downstream,4.0,4.05,6,0.2817789912223816,0.4601878225803375,-3.2412924766540527,-0.41380730271339417
pi_6,downstream,4.05,4.1000000000000005,3,0.29359447956085205,0.3937681019306183,-2.9666879177093506,-1.342533826828003
pi_6,downstream,4.1000000000000005,4.15,2,0.3104932904243469,0.3593696057796478,-2.400170087814331,-2.0222346782684326
pi_6,upstream,2.75,2.8000000000000003,1,0.1173669695854187,0.1173669695854187,0.04425623640418053,0.04425623640418053
pi_6,upstream,2.8000000000000003,2.85,15,0.11779698729515076,0.1658673882484436,-0.09758775681257248,1.6485034227371216
pi_6,upstream,2.85,2.9000000000000004,7,0.13776153326034546,0.2788379192352295,1.1320526599884033,3.1309049129486084
pi_6,upstream,2.9000000000000004,2.95,5,0.23669812083244324,0.34151211380958557,2.924837589263916,3.2544074058532715
pi_6,upstream,2.95,3.0,7,0.29480665922164917,0.4430026710033417,1.707336664199829,3.1961092948913574
pi_6,upstream,3.0,3.0500000000000003,12,0.3518979847431183,0.47256389260292053,0.5584120154380798,3.198884963989258
pi_6,upstream,3.0500000000000003,3.1,5,0.39994001388549805,0.4946930408477783,0.6003389954566956,2.0784506797790527
pi_6,upstream,3.1,3.1500000000000004,9,0.42678800225257874,0.5000967383384705,0.1018097996711731,1.6948871612548828
pi_6,upstream,3.1500000000000004,3.2,11,0.4329138994216919,0.5368094444274902,0.2013353854417801,1.1155568361282349
pi_6,upstream,3.2,3.25,6,0.4394890367984772,0.5274609923362732,0.0907033309340477,0.5655525922775269
pi_6,upstream,3.25,3.3000000000000003,7,0.4900997281074524,0.5714810490608215,0.31811490654945374,0.5897907018661499
pi_6,upstream,3.3000000000000003,3.35,9,0.4535566568374634,0.5800960063934326,0.1905655860900879,0.5473417639732361
pi_6,upstream,3.35,3.4000000000000004,5,0.5058813691139221,0.5232720971107483,0.3247062861919403,0.5520170331001282
pi_6,upstream,3.4000000000000004,3.45,11,0.4720015227794647,0.5973364114761353,0.009861348196864128,0.6622441411018372
pi_6,upstream,3.45,3.5,7,0.4806969165802002,0.604987382888794,0.04185551032423973,0.29041150212287903
pi_6,upstream,3.5,3.5500000000000003,7,0.4927518367767334,0.581942617893219,0.014700139872729778,0.7148512601852417
pi_6,upstream,3.5500000000000003,3.6,6,0.5014553070068359,0.6189409494400024,-0.029673976823687553,0.8955790996551514
pi_6,upstream,3.6,3.6500000000000004,4,0.520797073841095,0.5958498120307922,0.15687337517738342,0.774288535118103
pi_6,upstream,3.6500000000000004,3.7,2,0.5744261741638184,0.6275829076766968,0.3130839467048645,0.4314251244068146
pi_6,upstream,3.7,3.75,1,0.5983216762542725,0.5983216762542725,0.7304317355155945,0.7304317355155945
pi_6,upstream,3.75,3.8000000000000003,1,0.6097708344459534,0.6097708344459534,0.40197208523750305,0.40197208523750305
