arm,candidate_index,candidate_id,state_sha256,phase,root_cell,root_x_m,root_y_m,root_z_m,root_vx_mps,root_vy_mps,root_vz_mps,roll_deg,pitch_deg,yaw_deg,root_wx_degps,root_wy_degps,root_wz_degps,steering_deg,hip_deg,knee_deg,steering_rate_degps,hip_rate_degps,knee_rate_degps,rearwheel_tangent_mps,frontwheel_tangent_mps,label,novel_positive
pi_6,124,pi6_causal_downstream_000124,81c1de9015f144a4ac02040f2e12649f1e32f0a49c3d2987b60bfcf3a5ab94d7,downstream,2387d73e7eb30c680eea1b6bf60b9b4a661f385a90fe3b05290be161571438bb,3.890636682510376,0.05148738622665405,0.5866743326187134,1.9891406297683716,0.11542214453220367,-1.5281975269317627,2.350177263214232,-25.210999917990893,-13.472112648975436,22.21810676624207,-61.88975108845456,-6.847238175954749,-18.975392495508473,-69.79933554357194,129.40709993975773,-242.16329151329157,-72.17893246926936,-64.0986752471717,-0.869804620742798,0.38127137660980226,1,True
pi_6,125,pi6_causal_downstream_000125,2c14a107d3c1dbcede4bf91b053e1b1d7d8a07bff127862cedec5014d16a5ab6,downstream,6d15981525e34810dd4bc868b0cca988abb3aabde17a9556f2564d816195f6b0,3.9336864948272705,0.053464099764823914,0.5457084774971008,2.2708635330200195,0.09152431786060333,-2.536759376525879,2.8339348642816464,-25.293216126462923,-13.567666429307733,21.477984052684903,103.96741150807408,-3.6779988114439215,-29.59566046615047,-70.40362287001048,123.8185435382049,93.51554868160792,-49.05565146817676,-500.1192371424599,-1.0724401664733887,0.18143168926239014,1,True
pi_6,126,pi6_causal_downstream_000126,a78ab7eb24f0825e0bcb0d4ebd43a6ab13ec9457294e332de49f3da63bd98e2b,downstream,1e96a18b367827a1bd07a728c859943a70b87d63a01897ef6e4ec3d342e71d94,3.9825096130371094,0.05496828630566597,0.48491623997688293,2.5519704818725586,0.07064946740865707,-3.5036678314208984,3.146283118340949,-21.478040427390813,-13.363143395766366,17.460741697997495,335.1641581201823,1.5455839772100275,-32.26565995988391,-70.52802110536392,108.73491769968884,58.53942035715824,-18.399074793721137,-1035.4067358307218,-1.3548864173889161,-0.06071751534938813,1,True
pi_6,127,pi6_causal_downstream_000127,5c54abb4388ba9129fe9fb61fd0ac96b5b73ce2d20ffcd8c7134aa41ca8852d1,downstream,cbba6a895b0a9e7d01f1f64b0295339a6a0cfe4f48da36b4cf45277a1816e19c,4.031976222991943,0.05650748312473297,0.4157877266407013,2.2948076725006104,0.09501633048057556,-3.2412924766540527,3.30686227952032,-14.509173435764374,-12.912170118905154,13.015412968211306,354.51875588822077,1.7019020344324665,-30.74797143573957,-70.50731197180043,87.67307999765988,-15.088731404920663,-26.885996356359474,-971.0307275824911,-1.378564796447754,-0.08125429630279542,1,True
pi_6,128,pi6_causal_downstream_000128,53270d8b184a2d0f4bf4d6a28b0023f1ffb4ff5dc726dd87959d865b6ac23b63,downstream,ea73fdafaafbca6d560c94bbc8b01d5bcad34f6389133bfd7a3b17322fb0ab8f,4.111553192138672,0.06080909073352814,0.3104932904243469,1.8294566869735718,0.11315518617630005,-2.400170087814331,3.8221324456338888,-10.681153626508264,-12.823661482779043,14.605495521142261,-61.53743627068696,-6.687492004099198,-33.43342764756475,-71.14616005543924,73.06401570267629,10.189632227435508,-20.108071793875663,13.41256285523816,-0.870279998779297,0.3465241193771363,1,True
pi_6,129,pi6_causal_upstream_000129,3e857d5d99eaf3b2bd7c04297ebebb5f2818b87974b3d28a7d1b9e9bb41bc4e7,upstream,2156ccaea489d2230b77d1dda111f5b3c5e6e3531e20f2c8fc9db839dba8eb01,2.800143003463745,-0.002278815722092986,0.11780881136655807,1.0286836624145508,0.04221949726343155,0.10585551708936691,-0.8527799393720062,-0.12359450615404384,-0.3782936568002418,1.3779203354459626,25.247734502796895,25.031934675970344,6.227582070110036,-64.78387982470738,133.0593933342603,36.74996601794242,347.39937650874964,-421.745002077098,0.5882718086242676,1.0069530868530274,1,False
pi_6,130,pi6_causal_upstream_000130,08ebb19364d58425e65b26be2252d802dfc63fe78ac0bb8cf522b043d1d8134d,upstream,dad4f7fe371e22e5533f674f78336ce5a30ab06745c8e118b118a5694ea11026,2.827685594558716,-0.0019418841693550348,0.11894720792770386,0.6738173365592957,-0.021521160379052162,0.03743388503789902,-1.047664320533062,0.20960375267773504,-0.2847571350491777,-10.128016237159178,7.773891648197671,-12.721401498972584,-8.633025285400432,-44.51617114200289,106.575983695507,136.55911396308315,524.1949436270811,-888.3796466249206,1.0419792556762697,0.662211151123047,1,True
pi_6,131,pi6_causal_upstream_000131,25515566770420d32fbd02dd9c808a4bda25db7e1166d4ee4e360705676c929b,upstream,51204b28aa8378eafb057d6e32fdbffba4824380ff96a07eb1fc05356560704b,2.885715961456299,-0.001168502727523446,0.1902950406074524,1.4706493616104126,0.05040363594889641,2.5523180961608887,-1.585651133521236,22.021652166931258,-1.281147432390313,-2.897767092646324,454.27298569734,-8.373050356343176,0.3848100830741681,-45.119898392929485,50.043149973093456,-16.933432311052293,-413.4114063084954,-396.2714837184553,1.6575132369995118,-0.24898148298263553,1,True
pi_6,132,pi6_causal_upstream_000132,92027db8c8f66792e15c04f850113d705495bed3f9eba8c96afc9336094f06e3,upstream,d4a82670709843c367cd8f6207119ad3437191a87d1300ca68fe65e947fcb777,2.9637937545776367,0.001191123854368925,0.3091614544391632,2.2168266773223877,0.058098528534173965,3.1961092948913574,-1.9248702487460008,21.393492508379694,-2.2370646198846695,0.17417534668359935,-364.0197949105186,-25.00440901361519,24.281401046570785,-58.27619852692429,72.32423108348304,-24.01606185769413,-148.47372327201006,1026.035497723411,2.158437786102295,0.7174180889129639,1,True
pi_6,133,pi6_causal_upstream_000133,b2994c8ffde01e14aaf792379fecfb4f6ca686754c57c32f5f2f782ccd07c87e,upstream,c08ed6e56614b92357049f7d44e9391c37ee3556cb543683eaebc0cad68bcd53,3.0042548179626465,0.0022147761192172766,0.3638954758644104,1.875013828277588,0.04361727461218834,2.2634334564208984,-2.0542393912895536,17.28897039190908,-2.569463979802065,-2.497835397636571,-90.82184501635994,-17.01836400583411,35.83677997119547,-60.938852152205385,84.55110981107377,-9.647697697930017,-105.77164695846797,279.1843648148647,1.8246585845947267,0.4194325637817383,1,True
